Project name,Data source,Core capacities,PHEICs (response funding),Funder,Funder type,"Funder including specific sub-organization, if any",Recipient,Recipient type,"Recipient including specific sub-organization, if any",Support type,Transaction year range,Amount committed,Amount disbursed,Response-specific transaction year range,Response-specific amount committed,Response-specific amount disbursed,Transaction currency
Germany funds UNICEF for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Germany,Government,Germany,United Nations (UN),Organization,United Nations (UN) (United Nations Children's Fund (UNICEF)),Direct financial support,2021,"219,600,000.00",,2021,"219,600,000.00",0.00,USD
Programme d'Appui à la Gouvernance Economique (PAGE) - Top up COVID,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Tunisia,Government,Tunisia,Direct financial support,2020,"218,773,000.60",,2020,"218,773,000.60",0.00,USD
EU contribution to debt relief for the poorest and most vulnerable ACP countries hit by the COVID-19 through the CCRT of the IMF,IATI Registry,,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Africa,Other,Africa,Direct financial support,2020,"218,773,000.60",,2020,"218,773,000.60",0.00,USD
Tunisia - Support Programme for Covid-19 Response through Social Inclusion and Employment (PARISE),IATI Registry,,2019-2021 COVID-19 Pandemic,African Development Bank,Organization,African Development Bank,Tunisia,Government,Tunisia,Direct financial support,2020,"217,872,212.09","215,741,827.05",2020,"217,872,212.09","215,741,827.05",USD
European Commission funds Multiple recipients for COVID-19 Response,EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,European Union,Government,European Union (European Commission),Not reported,Other,Not reported,Direct financial support,2020 - 2021,"211,470,000.00","211,470,000.00",2020 - 2021,"211,470,000.00","211,470,000.00",USD
Program for Strengthening Public Policy and Fiscal Management for the Response to the Sanitary and Economic Crisis Caused by COVID-19 in Paraguay,IATI Registry,,2019-2021 COVID-19 Pandemic,Inter-American Development Bank,Organization,Inter-American Development Bank,Paraguay,Government,Paraguay,Direct financial support,2020,"210,000,000.00","160,000,000.00",2020,"210,000,000.00","160,000,000.00",USD
Germany funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Germany,Government,Germany,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2021,"207,400,000.00",,2021,"207,400,000.00",0.00,USD
Emergency Social Protection Enhancement and COVID-19 Response Project,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Yemen,Government,Yemen,Direct financial support,2020 - 2021,"203,900,000.00","30,971,649.00",2020 - 2021,"203,900,000.00","30,971,649.00",USD
COVID-19: Fiscal Resilience and Social Protection Support Program (Subprogram 1),IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Georgia,Government,Georgia,Direct financial support,2020 - 2021,"201,741,975.11","209,223,966.88",2020 - 2021,"201,741,975.11","209,223,966.88",USD
Norway funds COVID-19 Response (recipient unspecified),EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,Norway,Government,Norway,Not reported,Other,Not reported,Direct financial support,2020,"201,615,514.00",,2020,"201,615,514.00",0.00,USD
Norway funds CEPI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Norway,Government,Norway,Coalition for Epidemic Preparedness Innovations (CEPI),Organization,Coalition for Epidemic Preparedness Innovations (CEPI),Direct financial support,2020,"200,084,531.00","200,084,531.00",2020,"200,084,531.00","200,084,531.00",USD
COVID-19: Sustained Private Sector-Led Growth Reform Program (Subprogram 3),IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Fiji,Government,Fiji,Direct financial support,2020 - 2021,"200,000,000.00","200,000,000.00",2020 - 2021,"200,000,000.00","200,000,000.00",USD
Canada funds UNICEF for COVID-19 Response,EIU Tracker 03-Aug-2021,R.4,2019-2021 COVID-19 Pandemic,Canada,Government,Canada,United Nations (UN),Organization,United Nations (UN) (United Nations Children's Fund (UNICEF)),Direct financial support,2020,"190,900,000.00",,2020,"190,900,000.00",0.00,USD
Accelerating India's COVID-19 Social Protection Response Program (PMGKY),IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),India,Government,India,Direct financial support,2020,"187,490,000.00","187,119,708.00",2020,"187,490,000.00","187,119,708.00",USD
SBSA COVID Project,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Finance Corporation),South Africa,Government,South Africa,Direct financial support,2020,"185,000,000.00",,2020,"185,000,000.00",0.00,USD
MOROCCO SME PUBLIC SUPPORT COVID-19 RESPONSE,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Morocco,Government,Morocco,Direct financial support,2020,"182,483,494.28",,2020,"182,483,494.28",0.00,USD
Global Fund (COVID-19 Response Mechanism) funds Global Fund for COVID-19 Response,EIU Tracker 03-Aug-2021,R.4,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria","The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Direct financial support,2020 - 2021,"182,228,422.00","182,228,422.00",2020 - 2021,"182,228,422.00","182,228,422.00",USD
Canada funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Canada,Government,Canada,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"182,090,000.00",,2021,"182,090,000.00",0.00,USD
Canada funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Canada,Government,Canada,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2020 - 2021,"177,500,000.00","177,500,000.00",2020 - 2021,"177,500,000.00","177,500,000.00",USD
COVID-19 Crisis Response DPF,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Colombia,Government,Colombia,Direct financial support,2020,"175,000,000.00","175,000,000.00",2020,"175,000,000.00","175,000,000.00",USD
Ecuador COVID-19 Emergency Response Project,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Ecuador,Government,Ecuador,Direct financial support,2020 - 2021,"170,000,000.00","65,540,611.00",2020 - 2021,"170,000,000.00","65,540,611.00",USD
Germany funds Global Fund for COVID-19 Response,EIU Tracker 03-Aug-2021,R.4,2019-2021 COVID-19 Pandemic,Germany,Government,Germany,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Direct financial support,2020 - 2021,"168,000,000.00","168,000,000.00",2020 - 2021,"168,000,000.00","168,000,000.00",USD
COVID-19: Small and Medium-Sized Enterprises Line of Credit Project - Third Additional Financing,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Sri Lanka,Government,Sri Lanka,Direct financial support,2020 - 2021,"165,000,000.00","119,000,000.00",2020 - 2021,"165,000,000.00","119,000,000.00",USD
Afghanistan COVID-19 Emergency Response and Health Systems Preparedness Project,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Afghanistan,Government,Afghanistan,Direct financial support,2020 - 2021,"160,400,000.00","63,264,584.00",2020 - 2021,"160,400,000.00","63,264,584.00",USD
Turkey COVID-19 Equipment Emergency Response,IATI Registry,,2019-2021 COVID-19 Pandemic,European Bank for Reconstruction and Development,Organization,European Bank for Reconstruction and Development,Not reported,Other,Not reported,Direct financial support,2020,"155,412,514.09",,2020,"155,412,514.09",0.00,USD
COVID-19 Relief Effort for Afghan Communities and Households (REACH),IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Afghanistan,Government,Afghanistan,Direct financial support,2020 - 2021,"155,000,000.00","86,552,803.00",2020 - 2021,"155,000,000.00","86,552,803.00",USD
United Kingdom funds COVID-19 Response (recipient unspecified),EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,United Kingdom,Government,United Kingdom,Not reported,Other,Not reported,Direct financial support,2020,"152,400,305.00",,2020,"152,400,305.00",0.00,USD
NAFIN SMES SUPPORT COVID-19 RESPONSE,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Mexico,Government,Mexico,Direct financial support,2020,"150,000,000.00",,2020,"150,000,000.00",0.00,USD
Saudi Arabia funds CEPI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Saudi Arabia,Government,Saudi Arabia,Coalition for Epidemic Preparedness Innovations (CEPI),Organization,Coalition for Epidemic Preparedness Innovations (CEPI),Direct financial support,2020,"150,000,000.00",,2020,"150,000,000.00",0.00,USD
Saudi Arabia funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Saudi Arabia,Government,Saudi Arabia,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2020 - 2021,"150,000,000.00","150,000,000.00",2020 - 2021,"150,000,000.00","150,000,000.00",USD
Bill & Melinda Gates Foundation funds Multiple recipients for COVID-19 Response,EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Not reported,Other,Not reported,Direct financial support,2020,"150,000,000.00",,2020,"150,000,000.00",0.00,USD
Responding to COVID-19: Modern and Resilient Agri-food Value Chains,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Guatemala,Government,Guatemala,Direct financial support,2021,"150,000,000.00",0.00,2021,"150,000,000.00",0.00,USD
Germany funds CEPI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Germany,Government,Germany,Coalition for Epidemic Preparedness Innovations (CEPI),Organization,Coalition for Epidemic Preparedness Innovations (CEPI),Direct financial support,2021,"147,185,085.00","147,185,085.00",2021,"147,185,085.00","147,185,085.00",USD
Troisième prêt de politique publique pour le développement de l'efficacité énergétique et l'accompagnement de la réforme - 120MEUR - top-up Covid,IATI Registry,,2019-2021 COVID-19 Pandemic,France,Government,France,Georgia,Government,Georgia,Direct financial support,2020 - 2021,"145,986,795.42","145,986,795.42",2020 - 2021,"145,986,795.42","145,986,795.42",USD
DRC - Support Programme in Response to the COVID-19 Crisis (PABRC),IATI Registry,,2019-2021 COVID-19 Pandemic,African Development Bank,Organization,African Development Bank,Democratic Republic of the Congo,Government,Democratic Republic of the Congo,Direct financial support,2020 - 2021,"144,026,846.60","99,781,799.33",2020 - 2021,"144,026,846.60","99,781,799.33",USD
Morocco - Social Protection Improvement Support Programme – Covid-19 Additional Financing,IATI Registry,,2019-2021 COVID-19 Pandemic,African Development Bank,Organization,African Development Bank,Morocco,Government,Morocco,Direct financial support,2020,"141,210,310.95",,2020,"141,210,310.95",0.00,USD
Bill & Melinda Gates Foundation funds Therapeutics Accelerator for COVID-19 Response,EIU Tracker 03-Aug-2021,R.4,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,COVID-19 Therapeutics Accelerator (CTA),Other,COVID-19 Therapeutics Accelerator (CTA),Direct financial support,2020 - 2021,"140,000,000.00","140,000,000.00",2020 - 2021,"140,000,000.00","140,000,000.00",USD
COVID-19 Solidarity Response Fund funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,COVID-19 Solidarity Response Fund,Other,COVID-19 Solidarity Response Fund,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,"139,728,500.00","139,728,500.00",2020,"139,728,500.00","139,728,500.00",USD
Switzerland funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Switzerland,Government,Switzerland,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"139,110,000.00",,2021,"139,110,000.00",0.00,USD
MCS Covid Project,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Finance Corporation),Mongolia,Government,Mongolia,Direct financial support,2020,"130,000,000.00",,2020,"130,000,000.00",0.00,USD
Canada funds Pending allocation for COVID-19 Response,EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,Canada,Government,Canada,Not reported,Other,Not reported,Direct financial support,2021,"128,650,000.00",,2021,"128,650,000.00",0.00,USD
Emergency Support for Vulnerable Populations Affected by Coronavirus,IATI Registry,,2019-2021 COVID-19 Pandemic,Inter-American Development Bank,Organization,Inter-American Development Bank,Uruguay,Government,Uruguay,Direct financial support,2020 - 2021,"125,000,000.00","123,920,000.00",2020 - 2021,"125,000,000.00","123,920,000.00",USD
COVID-19: Health System Enhancement to Address and Limit COVID-19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Philippines,Government,Philippines,Direct financial support,2020 - 2021,"125,000,000.00","27,492,407.78",2020 - 2021,"125,000,000.00","27,492,407.78",USD
European Commission funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,European Union,Government,European Union (European Commission),Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2020 - 2021,"122,699,665.00","122,699,665.00",2020 - 2021,"122,699,665.00","122,699,665.00",USD
Germany funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.4,2019-2021 COVID-19 Pandemic,Germany,Government,Germany,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,"122,554,745.00",,2020,"122,554,745.00",0.00,USD
